,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
ae5abff0-2a42-4331-88fa-682064615293,6,1448.65,3,137 days 18:07:41.000000000,285 days 19:58:42.000000000,9/12/2016 15:49,9/16/2016,9,2/10/2017 22:39,16 days 10:52:20.111111111
813f9315-416c-42b9-857d-1d760777a856,1,183.22,0,138 days 05:10:41.000000000,138 days 05:10:41.000000000,1/26/2017 11:49,2/5/2017,1,2/10/2017 11:36,0 days 00:00:00.000000000
022a2784-773b-4a74-9f5b-1416eed3cc8e,7,3080.75,3,145 days 22:19:29.000000000,368 days 20:55:16.000000000,6/24/2016 16:43,9/6/2016,10,2/2/2017 18:27,22 days 07:03:34.700000000
a127bc53-1a7d-4191-b212-efea865e9c56,0,11.56,1,147 days 22:41:44.000000000,147 days 22:41:44.000000000,5/25/2016 17:39,5/25/2016,1,1/31/2017 18:05,0 days 00:00:00.000000000
7166cdbd-063a-48ae-853e-bb9f81d1d82f,0,175.55,3,148 days 16:03:16.000000000,273 days 21:46:10.000000000,5/21/2016 4:30,9/27/2016,3,1/31/2017 0:43,41 days 17:54:18.000000000
2fbe6d50-93d5-419b-beac-a32a3bd81664,2,393.11,0,154 days 03:28:26.000000000,379 days 12:03:38.000000000,5/21/2016 11:12,6/8/2016,2,1/25/2017 13:18,112 days 16:17:36.000000000
ef2c8f7b-a1e5-41e2-abe6-fea8e5f7c47b,1,143.97,0,155 days 18:08:46.000000000,155 days 18:08:46.000000000,1/18/2017 20:03,5/7/2017,1,1/23/2017 22:38,0 days 00:00:00.000000000
e87d2982-cd14-4c92-a7a8-36bee5b41843,0,77.45,7,160 days 17:29:09.000000000,266 days 19:54:25.000000000,9/22/2016 14:15,9/22/2016,7,1/18/2017 23:17,15 days 03:46:28.000000000
af242ec5-9a7f-4d92-9e4b-47cf3a0b8be0,1,57.95,0,160 days 19:04:51.000000000,160 days 19:04:51.000000000,1/10/2017 18:16,1/19/2017,1,1/18/2017 21:42,0 days 00:00:00.000000000
fe7ee463-0055-42e4-a9c8-b754996635f7,2,403.53,0,162 days 14:13:14.000000000,341 days 22:14:19.000000000,6/10/2016 15:16,8/23/2016,2,1/17/2017 2:33,89 days 16:00:32.500000000
10f0f133-fc5d-4f8f-ae55-54bab385df6a,1,106.96,0,167 days 01:09:22.000000000,167 days 01:09:22.000000000,7/30/2016 16:45,1/13/2017,1,1/12/2017 15:37,0 days 00:00:00.000000000
27510353-be1f-4d1a-8559-b2ecbb80d34a,0,11,1,168 days 21:10:54.000000000,168 days 21:10:54.000000000,12/15/2016 23:00,1/5/2017,1,1/10/2017 19:36,0 days 00:00:00.000000000
adcdb203-8205-4f4b-b324-2a15914e914a,1,2308.52,0,170 days 01:13:24.000000000,170 days 01:13:24.000000000,4/1/2016 18:27,9/27/2016,1,1/9/2017 15:33,0 days 00:00:00.000000000
2c23d13f-e62e-4353-a0f6-e308cb504233,0,28,2,170 days 17:26:14.000000000,201 days 17:37:08.000000000,10/26/2016 6:05,12/8/2016,2,1/8/2017 23:20,15 days 12:05:27.000000000
31429d94-43ec-4d86-8439-2c8dd7935898,0,6.84,1,175 days 14:36:23.000000000,175 days 14:36:23.000000000,11/28/2016 20:09,2/25/2017,1,1/4/2017 2:10,0 days 00:00:00.000000000
033d0d0e-fe54-4bb7-97ca-5af3f15f9dae,0,99.67,3,175 days 23:10:39.000000000,249 days 21:55:15.000000000,10/20/2016 1:17,3/16/2017,3,1/3/2017 17:36,24 days 15:34:52.000000000
3fcd1b48-749e-42b6-885e-b3deec6b8357,0,36.3,1,180 days 10:30:13.000000000,180 days 10:30:13.000000000,12/22/2016 17:15,12/30/2016,1,12/30/2016 6:16,0 days 00:00:00.000000000
2d21f785-a946-4ff3-8f39-babcdbbfdb87,1,746.71,0,188 days 17:43:14.000000000,188 days 17:43:14.000000000,12/7/2016 22:41,12/8/2016,1,12/21/2016 23:03,0 days 00:00:00.000000000
